Software QA Checklist,,,,,,,,,
Project Name,,Transit.sa,,,,,,,
Tester Name,,Salma Tarek,,,,,,,
Date,,21\9\2023,,,,,,,
Test case ID,Priority,Dev. Status ,Description,ScreenShot,Date Opened,Date Closed,Comments,,
157,Urgent,solved,Mobile view floated right so there is a white space on the left side!,https://app.gemoo.com/share/image-annotation/574651276908855296?codeId=M0GALj5Wa3lNX&origin=imageurlgenerator,10/22/2023,,,,
158,Medium,In development,None,,10/22/2023,,,,
159,High,In development,When i click on an offer in best offers section the pop up dialoug is not displayed like dialoug in the search flight!,https://app.gemoo.com/share/image-annotation/574662338760704000?codeId=P5GAQwnXLd1Wp&origin=imageurlgenerator,10/23/2023,,,,
160,Urgent,solved,"On Passenger info form the passport field was not found in some destinations! 
like from Cairo,Egypt to Dubai,Emirates",https://app.gemoo.com/share/image-annotation/574665149657403392?codeId=Pa1eRJynmL3zb&origin=imageurlgenerator,10/23/2023,,,,
161,Medium,solved,in the flight the baggage is not the same as the filter it still in english,https://app.gemoo.com/share/image-annotation/574714172015652864?codeId=DW2G1mYkKJN7p&origin=imageurlgenerator,10/23/2023,,,,
162,Medium,In development, this T is on the right of degree and SV need to be next to it ,https://app.gemoo.com/share/image-annotation/574714566812897280?codeId=Ml2qAqpeOoG8o&origin=imageurlgenerator,10/23/2023,,,,
163,Urgent,In development,the month in arabic is wrtitten the first 3 letters only from the word it needs to write the whole name of the month ,https://app.gemoo.com/share/image-annotation/574715705490964480?codeId=Pa1eLdG5mk3QG&origin=imageurlgenerator,10/23/2023,,,,
164,Urgent,In development,We need to attach E-Ticket to be downloaded by the customer in confirmation mail.,,10/24/2023,,,,
165,High,Solved,Duration filter on flight search results must be only Departure Time and Arrival Time(For each Departure flight and Return flight).,https://jam.dev/c/7012a822-a20d-4794-9f68-00b93d0d1ba4,10/24/2023,,,,
166,Urgent,solved,We need to change email sender in e-ticket to transit ,https://app.gemoo.com/share/image-annotation/575723769715286016?codeId=DW2z70xK1Ypr8&origin=imageurlgenerator,10/25/2023,,,,
167,Urgent,solved,"We need to hide (App Store , Google Play) when i recieve any email",,10/25/2023,,,,
168,Urgent,solved,"In mobile view the arrows do not fit to mobile screen so i can't make increment or decrement the number of passengers easy.
and it closes and opens with any change",https://www.mediafire.com/file/hi2tvwastqes581/WhatsApp_Video_2023-10-25_at_17.02.50_0b25afea.mp4/file,10/25/2023,,,,
169,Urgent,solved,In mobile Results for search engine isn't very clear when i first type in it like shown in the screenshot,https://app.gemoo.com/share/image-annotation/580503149423693824?codeId=P5GOx3QbX135a&origin=imageurlgenerator,10/25/2023,,,,
170,Urgent,solved,the code of the country in the phone number is permitted to write in it letters as shown in the screenshot,https://jam.dev/c/d5b341a4-7e06-41ad-95a5-8ba2b332f736,10/25/2023,,,,
171,Urgent,In development,"this message appears on the home page 
HINT: when enter the website from the url in jam it gives request null",https://jam.dev/c/73858106-1bad-4a62-aac2-f207b727cf06,10/25/2023,,,,
172,Urgent,In development,In the account info i wrote the same password in the 2 new passwords but it doesn't change and give me that the pasword is not the same,https://jam.dev/c/0b5b438d-0454-4e82-aefd-b448dc398e40,10/25/2023,,,,
173,Medium,In development,"this error appears in the wallet and don't know what is it meaning.
it appears when i choose in  transaction history checkbox ""all""",https://jam.dev/c/90aed5a3-c74b-4d8d-9e56-fa9cf364e933,10/25/2023,,,,
174,Medium,solved,"the words within the green border need to be bigger like our design we attached
and  the header inner text is not shown (white font)",https://jam.dev/c/b19cf6ae-9053-4f6c-9131-ceeba7af35ad,10/25/2023,,,,
175,Medium,In development,"when entering the page of sign up this pop up ""required parameter"" appears at first before press submit or anything
HINT: this case happens when enter from the link that is attached at jam ",https://jam.dev/c/a8dfa4c5-eea9-4770-ba58-8ea3f7ccdac8,10/26/2023,,,,
176,Urgent,solved,in mobile view >>> flight search in. NO of passengers doesn't contain arrows for increase or decrease the n. of passengers and it permits the user to write anything in the box ,https://app.gemoo.com/share/image-annotation/576165760731271168?codeId=DGV3Z0XW3yA7A&origin=imageurlgenerator,10/26/2023,,,,
177,Urgent,solved,"In flight search i can write any number (No of Passegers field) but it gives me an alert after i write 
we need to prevent the user from make n. of passengers greater than 9",https://jam.dev/c/1a55b260-c4a0-4a0c-af2b-bc0f76c7da0c,10/26/2023,,,,
178,Medium,In development,"I am already logged in but it gives me the sign up page as shown in the screenshot
HINT: when i sign in and then go back it redirects me to sign up page and still logged in as shown
related to case n.183",https://jam.dev/c/98f3ab60-b708-43af-b888-7925af0a9dd4,10/29/2023,,,,
179,Urgent,In development,the visa has only 4 countries and we need all countries,https://app.gemoo.com/share/image-annotation/577270200813047808?codeId=vz8j9KkgGXY61&origin=imageurlgenerator,10/29/2023,,,,
180,Medium,solved,in the email shape>> the image of transit need to be in the email,https://jam.dev/c/3d4f39ce-8395-448e-b9f2-e2643c9f0b17,10/31/2023,,,,
181,High,solved,in the email >> the link of the website needs to be transit.sa not transit.com ,https://jam.dev/c/05b2fe45-28ba-4a86-ba16-be0cc388d532,10/31/2023,,,,
182,Medium,solved,We need to remove these android and IPhone logos from the email,https://jam.dev/c/a32259cd-0d6c-48bf-a16e-98f7aff6933c,10/31/2023,,,,
183,High,solved,in settings there is no validation on country code of the phone number,https://jam.dev/c/7c0a3d81-f435-47f2-b5b9-cceee99972c7,10/31/2023,,,,
184,High,In development,as a user i can't fill the birthdate box in the setting,as a user i can't fill the birthdate box in the setting,10/31/2023,,,,
185,High,In development,We need to display a modal pop up when we press on this call center button instead of go to top of the page,https://jam.dev/c/112c237e-820d-4694-bd81-bca1a5127671,10/31/2023,,,,
186,Urgent,solved,"refering to points 172- email fix  ,174- email fix  , 175- email fix  ,188- email fix , 189- email fix , 190- email fix.          the email didn't arrive after i tried to make a sign up or reset password or forget passwod",,,,,,
187,High,solved,In contact us there is no validation to country code of phone number,https://jam.dev/c/4a18939d-1a43-4c05-b01e-f12f4a85dfc9,,,,,
188,High,In development,(UX issue)  in duration filter we need to add a new button to press after choosing the right duration instead of sending request on each action,,,,,,
189,High,solved,in mobile view this button redirects me to sign in and i am aready signed in,https://jam.dev/c/f2d57799-6f0e-4655-84da-f8be60a9cc64,,,,,
190,Medium,solved,in mobile view the sentence in the header section is dissapeared,https://jam.dev/c/c138c60d-890c-4b4c-94d5-0d70ae52beba,,,,,
191,Urgent,In development,the filter baggage doesn't affect the search for flights,https://jam.dev/c/29711ec0-4393-4076-83df-9a9cd0b9802f,,,,,
192,Medium,solved,the email shape isn't fit to the page,https://jam.dev/c/f35e51d0-1d63-4cb9-813a-28acc1b168e0,,,,,
193,Medium,solved,when sign up the email is not sent ,https://jam.dev/c/a8d90598-3563-4bb9-980b-0134a5524a6f,,,,,
194,Medium,solved,in mobile view this arrow is outside its margins in home page,https://jam.dev/c/9c783210-d8b1-4d9f-b4a7-71b073d21e71,,,,,
195,High,solved,in mobile view in home page when the name of the user is not shown just the arrow,https://jam.dev/c/9c783210-d8b1-4d9f-b4a7-71b073d21e71,,,,,
196,Medium,In development,in settings the country code is unchangeable after clicking on save button,https://jam.dev/c/4f8e528c-240d-412e-8c5c-17b54ef26b3d,,,,,
197,High,In development,"After the passenger details step and then i go to payment stage as shown if i press exit to this step it goes to the passenger details page and then the page contains many bugs
1-i can't press back button
2- i can't change the currency
3- and in the upper side of the page it contain this:: head.data.withoutIFrame/priceDetailShow
i highlighted the points in this screenshot: https://jam.dev/c/d0d0b655-f22e-4364-9a19-18b8eb71833f",https://jam.dev/c/c799f27a-86b1-43fd-8eb7-6d039bde4c1a,,,,,
198,Medium,solved,the email font size is small,,,,,,
199,Urgent,In development,Contact Us not Clear the feilds after i click to send,,,,,,
200,Urgent,solved,In passenger details i can write any thing in the expiry date of the passport,,,,,,
201,High,In development,The word dashboard is hidden in mobile view,https://ibb.co/PTs9cv3,,,,,
202,Urgent,Solved,in passenger details in passport section the nationality box is not available,,,,,,
203,Medium,In development,There is no max limit of expiration date of the passport in passeger details form.,,,,,,
204,Urgent,In development,Hide All services and keep Flight module only,,,,,,
205,Urgent,In development,I can't select nationality in passport details,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,Priority,,
,,,,,,,Urgent,,
,,,,,,,High,,
,,,,,,,medium,,
